[ ' Time [s]',
  'SuperCapV-Analog',
  ' Time [s]',
  'AC_Present-Digital',
  ' Time [s]',
  'BB_shutdown-Digital',
  ' Time [s]',
  'PIC3.3V-Digital' ]
 Time [s]
SuperCapV-Analog
 Time [s]
AC_Present-Digital
 Time [s]
BB_shutdown-Digital
 Time [s]
PIC3.3V-Digital
cols = 4
SuperCapV-Analog, AC_Present-Digital, BB_shutdown-Digital, PIC3.3V-Digital
16.172, 28.308, 12.135, 4.938
197.669, 211.111, 13.442, 4.847
388.375, 401.492, 13.118, 4.837
562.684, 576.086, 13.402, 4.832
731.701, 755.522, 23.821, 4.036
1056.300, 1068.563, 12.263, 4.847
1235.206, 1259.483, 24.277, 4.031
1544.226, 1557.533, 13.307, 4.807
1753.676, 1766.190, 12.514, 4.852
1977.118, 1990.027, 12.908, 4.852
2167.402, 2180.194, 12.791, 4.847
2389.712, 2402.944, 13.232, 4.842
2616.264, 2629.414, 13.149, 4.837
2815.170, 2839.290, 24.120, 4.026
3101.176, 3125.080, 23.904, 4.026
3383.399, 3395.839, 12.440, 4.842
3582.503, 3595.593, 13.090, 4.827
3776.727, 3791.522, 14.795, 4.766
4007.783, 4020.960, 13.177, 4.812
4223.695, 4237.059, 13.363, 4.827
4401.007, 4424.533, 23.526, 4.051
4679.476, 4692.286, 12.811, 4.842
4871.703, 4883.989, 12.286, 4.867
5086.026, 5110.180, 24.155, 4.036
5388.729, 5401.663, 12.934, 4.822
5573.310, 5586.342, 13.032, 4.837
5780.285, 5793.403, 13.118, 4.842
5994.828, 6007.410, 12.581, 4.857
6187.800, 6200.397, 12.597, 4.862
6409.152, 6422.248, 13.096, 4.832
6632.348, 6644.894, 12.546, 4.852
6814.830, 6827.696, 12.867, 4.847
6999.132, 7011.714, 12.582, 4.847
7200.876, 7225.057, 24.181, 4.036
7502.576, 7526.239, 23.663, 4.036
7811.653, 7835.336, 23.684, 4.011
8093.282, 8105.793, 12.512, 4.832
8299.128, 8323.141, 24.013, 4.031
8627.967, 8640.710, 12.743, 4.827
8806.304, 8810.325, 4.022, 4.902
9036.731, 9061.234, 24.503, 4.031
9352.226, 9375.903, 23.677, 4.031
9666.925, 9678.951, 12.027, 4.857
9851.302, 9864.395, 13.093, 4.827
10027.704, 10040.152, 12.448, 4.857
10242.015, 10254.820, 12.804, 4.852
10443.233, 10456.577, 13.344, 4.832
10621.417, 10634.728, 13.311, 4.837
10843.734, 10857.018, 13.284, 4.827
11064.175, 11077.291, 13.117, 4.832
11237.543, 11250.664, 13.121, 4.847
11448.560, 11461.459, 12.900, 4.837
11665.614, 11678.410, 12.795, 4.837
11872.542, 11896.652, 24.110, 4.036
12166.717, 12190.418, 23.700, 4.036
12469.604, 12482.377, 12.773, 4.822
12702.311, 12715.674, 13.363, 4.807
12895.625, 12919.408, 23.782, 4.036
13223.372, 13236.897, 13.525, 4.797
13409.072, 13432.791, 23.719, 4.031
13714.976, 13728.238, 13.262, 4.802
13916.090, 13939.887, 23.797, 4.011
14217.443, 14230.217, 12.774, 4.827
14425.720, 14449.648, 23.929, 4.031
14722.267, 14734.785, 12.518, 4.832
14919.597, 14932.599, 13.002, 4.832
15100.741, 15113.962, 13.222, 4.832
15301.625, 15325.719, 24.095, 4.036
15597.126, 15620.724, 23.598, 4.031
15927.256, 15940.498, 13.242, 4.812
16124.677, 16138.098, 13.421, 4.807
16339.644, 16352.267, 12.622, 4.842
16523.252, 16536.937, 13.686, 4.827
16749.613, 16761.930, 12.317, 4.857
16958.023, 16971.269, 13.246, 4.837
17172.260, 17184.827, 12.567, 4.857
17385.454, 17398.431, 12.977, 4.847
17611.088, 17623.791, 12.703, 4.852
17802.745, 17815.516, 12.771, 4.852
18023.801, 18047.900, 24.099, 4.021
18306.950, 18319.977, 13.027, 4.812
18534.661, 18547.613, 12.952, 4.832
18752.808, 18765.994, 13.187, 4.842
18960.956, 18973.385, 12.430, 4.867
19184.235, 19197.523, 13.288, 4.837
19382.397, 19406.318, 23.920, 4.031
19699.315, 19711.519, 12.204, 4.857
19904.602, 19918.099, 13.497, 4.817
20112.930, 20136.823, 23.894, 4.031
20421.614, 20434.749, 13.135, 4.822
20609.585, 20633.451, 23.866, 4.031
20906.761, 20930.275, 23.515, 4.031
21202.615, 21216.140, 13.526, 4.792
21396.565, 21409.669, 13.104, 4.822
21584.185, 21596.956, 12.771, 4.827
21777.786, 21790.237, 12.451, 4.867
21996.589, 22009.777, 13.188, 4.837
22184.887, 22197.468, 12.581, 4.852
22357.976, 22381.943, 23.967, 4.016
22650.173, 22674.053, 23.881, 4.011
22945.385, 22958.714, 13.329, 4.812
23170.571, 23183.461, 12.890, 4.837
23355.794, 23368.955, 13.160, 4.837
23578.784, 23602.492, 23.708, 4.031
23869.640, 23882.535, 12.895, 4.827
24058.016, 24071.149, 13.133, 4.827
24240.735, 24254.040, 13.305, 4.827
24415.014, 24439.286, 24.272, 4.001
24689.904, 24713.357, 23.453, 4.031
24990.184, 25003.675, 13.491, 4.797
25201.546, 25214.196, 12.650, 4.832
25415.566, 25439.543, 23.977, 4.041
25718.881, 25732.479, 13.599, 4.787
25906.897, 25920.108, 13.210, 4.817
26137.962, 26151.143, 13.182, 4.832
26316.751, 26329.450, 12.699, 4.837
26533.606, 26557.435, 23.829, 4.031
26813.216, 26837.119, 23.903, 4.006
27116.538, 27129.080, 12.542, 4.837
27332.480, 27345.927, 13.446, 4.832
27539.485, 27551.995, 12.510, 4.847
27731.269, 27744.758, 13.489, 4.822
27900.013, 27912.821, 12.808, 4.847
28102.889, 28116.368, 13.478, 4.817
28300.813, 28313.481, 12.668, 4.842
28532.186, 28545.454, 13.267, 4.817
28705.270, 28717.837, 12.568, 4.857
28923.912, 28948.196, 24.284, 4.016
29225.961, 29239.155, 13.194, 4.802
29442.192, 29454.619, 12.427, 4.852
29650.713, 29664.240, 13.527, 4.807
29872.677, 29886.236, 13.559, 4.812
30068.120, 30072.140, 4.021, 4.902
30269.029, 30281.543, 12.514, 4.877
30452.505, 30476.710, 24.205, 4.006
30723.649, 30746.932, 23.283, 4.041
31049.927, 31073.517, 23.590, 4.006
31361.189, 31374.080, 12.891, 4.817
31537.345, 31561.232, 23.887, 4.031
31828.436, 31841.074, 12.638, 4.837
32009.369, 32022.479, 13.111, 4.837
32223.388, 32235.638, 12.250, 4.862
32432.667, 32456.412, 23.745, 4.036
32746.082, 32759.464, 13.382, 4.807
32964.258, 32976.955, 12.698, 4.837
33157.931, 33171.396, 13.465, 4.812
33345.493, 33369.478, 23.985, 4.031
33653.918, 33666.692, 12.774, 4.827
33887.542, 33901.147, 13.605, 4.807
34100.471, 34113.450, 12.979, 4.827
34287.583, 34299.928, 12.344, 4.872
34511.391, 34535.485, 24.094, 4.006
34798.927, 34811.730, 12.803, 4.817
34998.025, 35011.328, 13.303, 4.817
35215.314, 35228.425, 13.111, 4.832
35416.712, 35429.242, 12.530, 4.852
35587.483, 35600.667, 13.185, 4.832
35767.661, 35780.753, 13.092, 4.832
35972.311, 35985.640, 13.330, 4.832
36163.959, 36177.068, 13.109, 4.832
36353.282, 36365.574, 12.292, 4.872
36548.869, 36561.731, 12.862, 4.837
36744.389, 36756.895, 12.506, 4.852
36948.757, 36961.296, 12.539, 4.852
37166.462, 37178.693, 12.231, 4.872
37390.705, 37415.043, 24.338, 4.006
37717.032, 37740.745, 23.714, 4.006
38032.845, 38044.959, 12.114, 4.852
38205.969, 38218.457, 12.488, 4.852
38398.958, 38412.153, 13.195, 4.832
38610.599, 38623.753, 13.155, 4.842
38824.878, 38839.231, 14.353, 4.792
39026.968, 39040.379, 13.412, 4.817
39244.662, 39257.410, 12.748, 4.847
39444.679, 39457.908, 13.230, 4.827
39620.738, 39633.911, 13.173, 4.842
39823.780, 39836.301, 12.521, 4.862
